clientId,min_impressions,max_impressions,youtube_subscribers,instagram_followers,episode_avg_views,estimated_ad_price
themelrobbins,185160,308600,4290000,1807623,149022.4,"{'30s': '20,26', '60s': '26,33'}"
themichaelknowlesshow,430620,717700,2410000,2510184,86773.8,"{'30s': '20,26', '60s': '26,33'}"
themindsetmentor,192090,320150,469000,1209664,14927.0,"{'30s': '22,28', '60s': '28,35'}"
themindsofmadness,90630,151050,923,25855,0.0,"{'30s': '21,27', '60s': '27,34'}"
theminimalists,151095,251825,604000,838490,13420.4,"{'30s': '20,26', '60s': '26,33'}"
themismatch,80130,133550,457000,0,11087.4,"{'30s': '20,26', '60s': '26,33'}"
thenikkiandbrieshow,211185,351975,3430000,194868,19703.2,"{'30s': '22,28', '60s': '28,35'}"
theofficial,105030,175050,102000,47,148156.4,"{'30s': '19,25', '60s': '25,32'}"
theoklahomabreakdown,18090,30150,27000,3071,5336.0,"{'30s': '15,20', '60s': '20,26'}"
thepatmcafeeshow,283605,472675,2860000,0,90267.66666666667,"{'30s': '20,26', '60s': '26,33'}"
theplaybook,27300,45500,127000,721800,759.6,"{'30s': '20,26', '60s': '26,32'}"
thepurposeshow,66420,110700,7350,147081,231.6,"{'30s': '15,20', '60s': '20,26'}"
therecapshow,16905,28175,54500,130356,23920.4,"{'30s': '15,20', '60s': '20,26'}"
therighttime,188385,313975,606,22947,811.0,"{'30s': '20,26', '60s': '26,33'}"
theringernbashow,135810,226350,457000,0,11088.4,"{'30s': '20,26', '60s': '26,33'}"
therootofallsuccess,810,1350,1830,46068,3.8,"{'30s': '14,20', '60s': '18,25'}"
therubinreport,203235,338725,2990000,528389,87962.0,"{'30s': '20,26', '60s': '26,33'}"
theshiftclub,0,0,168,2346,25.6,"{'30s': '10,15', '60s': '14,20'}"
theteamignitionshow,0,0,15300,7979,88569.2,"{'30s': '10,15', '60s': '14,20'}"
thetommygshow,105,175,2800000,198080,1613235.8,"{'30s': '10,15', '60s': '14,20'}"
theunderworldpodcast,11115,18525,60000,25981,11792.2,"{'30s': '16,21', '60s': '21,27'}"
theunplannedpodcast,236850,394750,777,465983,100.6,"{'30s': '22,28', '60s': '28,35'}"
thevanished,216420,360700,2630,35587,0.0,"{'30s': '21,27', '60s': '27,34'}"
thewilderness,187305,312175,342,467950,508.6,"{'30s': '20,26', '60s': '26,33'}"
